#RPLIDAR SCAN DATA
#COUNT=586
#Angule	Distance	Quality
223.1982 1220.0 188
223.5938 1249.0 188
224.7638 1272.0 188
225.1538 1275.0 188
225.9503 1288.0 188
226.3239 1290.0 188
226.7139 1273.0 188
227.1094 1274.0 188
228.6694 2117.0 188
229.0594 2129.0 188
229.8395 2236.0 188
230.2295 2223.0 188
232.1851 573.0 188
232.5751 572.0 188
232.9651 571.0 188
233.3551 571.0 188
233.7341 572.0 188
234.1241 572.0 188
234.5142 568.0 188
234.9042 563.0 188
235.2942 561.0 188
235.6842 559.0 188
236.0742 557.0 188
236.4642 557.0 188
236.8542 556.0 188
237.2498 551.0 188
237.6398 543.0 188
238.0298 542.0 188
238.4198 544.0 188
238.8098 543.0 188
239.1998 542.0 188
239.5898 542.0 188
239.9799 540.0 188
240.3699 538.0 188
240.7654 536.0 188
241.1554 537.0 188
241.5454 536.0 188
241.9189 531.0 188
242.3090 529.0 188
242.6990 526.0 188
243.0890 523.0 188
243.4790 526.0 188
243.8745 529.0 188
244.2645 527.0 188
244.6545 524.0 188
245.0446 523.0 188
245.4346 523.0 188
245.8246 524.0 188
246.2146 523.0 188
246.6046 523.0 188
246.9946 521.0 188
247.3901 519.0 188
247.7802 515.0 188
248.1702 511.0 188
248.5602 513.0 188
248.9502 516.0 188
249.3402 511.0 188
249.7302 503.0 188
250.1202 498.0 188
250.5103 497.0 188
250.9058 498.0 188
251.2958 497.0 188
251.6858 496.0 188
252.0758 497.0 188
252.4658 500.0 188
252.8558 501.0 188
253.2458 497.0 188
253.6359 492.0 188
254.0259 491.0 188
254.4214 491.0 188
254.8114 488.0 188
255.2014 487.0 188
255.5914 487.0 188
255.9814 484.0 188
256.3715 484.0 188
256.7615 491.0 188
257.5305 488.0 188
257.9205 481.0 188
258.3105 479.0 188
258.7006 478.0 188
259.0906 481.0 188
259.8706 478.0 188
260.2606 474.0 188
260.6561 472.0 188
261.0461 470.0 188
261.4362 471.0 188
261.8262 472.0 188
262.2162 474.0 188
262.6062 479.0 188
262.9962 480.0 188
263.3862 478.0 188
263.7762 477.0 188
264.1718 476.0 188
264.5618 476.0 188
264.9353 477.0 188
265.7153 474.0 188
266.1053 471.0 188
266.4954 472.0 188
266.8854 473.0 188
267.2809 474.0 188
267.6709 476.0 188
268.0609 476.0 188
268.4509 476.0 188
268.8409 475.0 188
271.1865 940.0 188
271.5765 946.0 188
271.9666 954.0 188
272.3566 956.0 188
272.7466 956.0 188
273.1366 956.0 188
273.9166 942.0 188
274.3121 934.0 188
275.8722 927.0 188
276.2622 916.0 188
276.6522 919.0 188
277.0422 926.0 188
277.4323 937.0 188
278.9978 531.0 188
279.3878 529.0 188
279.7778 528.0 188
280.1678 534.0 188
280.5579 544.0 188
282.9034 5438.0 188
283.2935 5422.0 188
283.6835 5409.0 188
284.0735 5423.0 188
284.4635 5427.0 188
287.1991 3916.0 188
287.5891 3935.0 188
287.9791 3951.0 188
288.3856 3954.0 188
288.7811 3942.0 188
289.5612 3697.0 188
289.9512 3674.0 188
290.3412 3633.0 188
290.7312 3591.0 188
292.2968 3379.0 188
294.2468 1789.0 188
294.6368 1791.0 188
295.0269 1800.0 188
297.3724 3807.0 188
297.7625 3815.0 188
298.1525 3830.0 188
298.5425 3828.0 188
300.8881 1898.0 188
301.2781 1901.0 188
302.0581 1994.0 188
303.6237 1325.0 188
304.0302 1322.0 188
304.4202 1324.0 188
304.8102 1331.0 188
306.7603 1160.0 188
307.1558 1160.0 188
308.7158 1677.0 188
311.0614 1473.0 188
311.4514 1473.0 188
311.8414 1468.0 188
312.2314 1463.0 188
312.6215 1478.0 188
313.0115 1517.0 188
313.4015 1543.0 188
313.7915 1533.0 188
314.1870 1514.0 188
314.5770 1505.0 188
315.3571 1532.0 188
315.7471 1566.0 188
316.1371 1576.0 188
316.5271 1586.0 188
316.9171 1595.0 188
318.0927 1817.0 188
318.4827 1820.0 188
318.8727 1828.0 188
319.2627 1837.0 188
319.6527 1846.0 188
320.0427 1859.0 188
320.4327 1870.0 188
320.8228 1877.0 188
321.2183 1878.0 188
321.6083 1866.0 188
323.5748 879.0 188
323.9648 881.0 188
324.3549 888.0 188
326.3269 1758.0 188
326.7169 1761.0 188
328.2935 1470.0 188
328.6835 1462.0 188
329.0735 1450.0 188
329.4635 1449.0 188
329.8590 1460.0 188
330.2655 1477.0 188
330.6555 1494.0 188
331.0455 1507.0 188
331.4355 1502.0 188
332.2156 1408.0 188
332.6056 1406.0 188
333.0121 1399.0 188
333.4021 1395.0 188
333.7921 1390.0 188
334.1821 1380.0 188
334.5776 1379.0 188
334.9677 1381.0 188
335.3741 1375.0 188
335.7642 1366.0 188
336.1542 1361.0 188
336.5442 1358.0 188
336.9342 1345.0 188
337.3242 1331.0 188
338.8898 1439.0 188
339.6863 1457.0 188
340.0763 1470.0 188
340.4663 1462.0 188
340.8563 1456.0 188
341.2463 1459.0 188
341.6364 1476.0 188
342.0264 1498.0 188
342.4219 1525.0 188
343.9984 2940.0 188
344.3884 2971.0 188
344.7784 3017.0 188
345.1685 3015.0 188
345.5585 2986.0 188
347.1240 2519.0 188
347.5305 2529.0 188
349.0906 2828.0 188
349.8706 2924.0 188
350.2606 2922.0 188
350.6561 2929.0 188
351.0571 2935.0 188
351.4526 2920.0 188
351.8427 2898.0 188
352.2327 2885.0 188
352.6392 2890.0 188
353.0292 2896.0 188
353.4192 2884.0 188
353.8092 2870.0 188
354.2157 2869.0 188
354.6057 2875.0 188
354.9957 2872.0 188
355.4022 2864.0 188
355.7922 2865.0 188
356.1823 2867.0 188
